fixture,phi,N,replicates,median_null_minus_observed,sign_error_rate
common_factor_station_noise,0.6,6,24,-0.028384946570540234,0.4583333333333333
common_factor_station_noise,0.6,10,24,0.21371409923645562,1.0
common_factor_station_noise,0.6,14,24,0.42449300411544316,1.0
common_factor_station_noise,0.8,6,24,0.03739552648538247,0.7916666666666666
common_factor_station_noise,0.8,10,24,0.21567975461098693,1.0
common_factor_station_noise,0.8,14,24,0.36216791294316963,1.0
common_factor_station_noise,0.92,6,24,0.0017929079633426936,0.5
common_factor_station_noise,0.92,10,24,0.11897754659401982,1.0
common_factor_station_noise,0.92,14,24,0.2333374743372253,1.0
common_factor_station_noise,0.95,6,24,-0.007229908902329607,0.4583333333333333
common_factor_station_noise,0.95,10,24,0.05028480960388382,1.0
common_factor_station_noise,0.95,14,24,0.15229555996396799,1.0
matched_missingness,-0.9,6,24,-0.12087100935958803,0.9583333333333334
matched_missingness,-0.9,10,24,-0.2132299618833058,1.0
matched_missingness,-0.9,14,24,-0.23492199204148365,1.0
matched_missingness,-0.6,6,24,-0.047593007208300585,0.7083333333333334
matched_missingness,-0.6,10,24,-0.13272382436562688,0.9583333333333334
matched_missingness,-0.6,14,24,-0.15883680726118232,0.9583333333333334
matched_missingness,-0.3,6,24,-0.04062446669089764,0.7083333333333334
matched_missingness,-0.3,10,24,-0.07114057801994594,0.8333333333333334
matched_missingness,-0.3,14,24,-0.12257375858346782,0.8333333333333334
matched_missingness,0.0,6,24,0.009219516570692334,0.0
matched_missingness,0.0,10,24,-0.01829366405470894,0.0
matched_missingness,0.0,14,24,0.016289968860361357,0.0
matched_missingness,0.3,6,24,0.06125235010582787,0.7916666666666666
matched_missingness,0.3,10,24,0.12290202053696492,0.9166666666666666
matched_missingness,0.3,14,24,0.09443623939981462,0.9583333333333334
matched_missingness,0.6,6,24,0.13292250635801411,1.0
matched_missingness,0.6,10,24,0.2131985829022784,1.0
matched_missingness,0.6,14,24,0.2585241708641488,1.0
matched_missingness,0.8,6,24,0.0627536773496796,0.9166666666666666
matched_missingness,0.8,10,24,0.2256785584971951,1.0
matched_missingness,0.8,14,24,0.2832945296394749,1.0
matched_missingness,0.92,6,24,0.0075240514419986915,0.5416666666666666
matched_missingness,0.92,10,24,0.09137710509194352,1.0
