station,N,phase,registered_v021_phase,observed_score,null_median,signed_effect,lower_tail_local_p,month_boundary_crossings,trailing_days_dropped,status
Dongsi,7,4,False,0.16914624936720699,0.28652434409636285,-0.11737809472915586,0.0234375,40,1,POST_HOC_DIAGNOSTIC_ONLY
Dongsi,7,5,False,0.17546316156139388,0.2852394519892872,-0.1097762904278933,0.0234375,40,0,POST_HOC_DIAGNOSTIC_ONLY
Dongsi,7,6,False,0.1227423844602775,0.2887929784666459,-0.1660505940063684,0.0078125,41,6,POST_HOC_DIAGNOSTIC_ONLY
Guanyuan,7,0,True,0.10990165233674856,0.2394765942751888,-0.12957494193844024,0.015625,41,5,REGISTERED
Guanyuan,7,1,False,0.09336052065045689,0.24058561480906923,-0.14722509415861235,0.0078125,41,4,POST_HOC_DIAGNOSTIC_ONLY
Guanyuan,7,2,False,0.07892459507013933,0.24743247640030294,-0.16850788133016362,0.0078125,39,3,POST_HOC_DIAGNOSTIC_ONLY
Guanyuan,7,3,False,0.03331925881272597,0.2452416602407712,-0.21192240142804525,0.0078125,40,2,POST_HOC_DIAGNOSTIC_ONLY
Guanyuan,7,4,False,0.11600773305545559,0.2407288805781771,-0.12472114752272151,0.015625,40,1,POST_HOC_DIAGNOSTIC_ONLY
Guanyuan,7,5,False,0.1448839448759743,0.24546008232676728,-0.10057613745079297,0.03125,40,0,POST_HOC_DIAGNOSTIC_ONLY
Guanyuan,7,6,False,0.12113540119139522,0.24546608914972456,-0.12433068795832934,0.015625,41,6,POST_HOC_DIAGNOSTIC_ONLY
Gucheng,7,0,True,0.12020492394111468,0.23472318114656707,-0.11451825720545239,0.03125,41,5,REGISTERED
Gucheng,7,1,False,0.07388721519066759,0.23136780206265015,-0.15748058687198258,0.0078125,41,4,POST_HOC_DIAGNOSTIC_ONLY
Gucheng,7,2,False,0.05930117429540336,0.22587002681560436,-0.166568852520201,0.015625,39,3,POST_HOC_DIAGNOSTIC_ONLY
Gucheng,7,3,False,0.020249520472658947,0.22670746019009838,-0.20645793971743942,0.0078125,40,2,POST_HOC_DIAGNOSTIC_ONLY
Gucheng,7,4,False,0.10337204095988894,0.2292536072409919,-0.12588156628110295,0.015625,40,1,POST_HOC_DIAGNOSTIC_ONLY
Gucheng,7,5,False,0.13316013684360947,0.23707907898526454,-0.10391894214165506,0.03125,40,0,POST_HOC_DIAGNOSTIC_ONLY
Gucheng,7,6,False,0.09846397924133576,0.2392144254011231,-0.14075044615978732,0.0234375,41,6,POST_HOC_DIAGNOSTIC_ONLY
Huairou,7,0,True,0.08533629193618253,0.23923889908859838,-0.15390260715241585,0.0234375,41,5,REGISTERED
Huairou,7,1,False,0.06005091064901848,0.24708001589068893,-0.18702910524167043,0.0078125,41,4,POST_HOC_DIAGNOSTIC_ONLY
Huairou,7,2,False,0.07327479816363681,0.24517562582258481,-0.17190082765894799,0.0078125,39,3,POST_HOC_DIAGNOSTIC_ONLY
Huairou,7,3,False,0.06618993235475515,0.24945917855224717,-0.18326924619749202,0.015625,40,2,POST_HOC_DIAGNOSTIC_ONLY
Huairou,7,4,False,0.12050746712739098,0.25245564587354513,-0.13194817874615417,0.0078125,40,1,POST_HOC_DIAGNOSTIC_ONLY
Huairou,7,5,False,0.134841973844466,0.24784124374370714,-0.11299926989924114,0.0390625,40,0,POST_HOC_DIAGNOSTIC_ONLY
Huairou,7,6,False,0.13366666544920325,0.23967450921607267,-0.10600784376686942,0.0390625,41,6,POST_HOC_DIAGNOSTIC_ONLY
Nongzhanguan,7,0,True,0.11941506288653891,0.24831429919313527,-0.12889923630659636,0.03125,41,5,REGISTERED
Nongzhanguan,7,1,False,0.09395301702274311,0.23618192157848666,-0.14222890455574355,0.0234375,41,4,POST_HOC_DIAGNOSTIC_ONLY
Nongzhanguan,7,2,False,0.04995200144597187,0.2379848485839618,-0.18803284713798993,0.0078125,39,3,POST_HOC_DIAGNOSTIC_ONLY
Nongzhanguan,7,3,False,0.03244717870796136,0.23846317954142854,-0.20601600083346716,0.0078125,40,2,POST_HOC_DIAGNOSTIC_ONLY
Nongzhanguan,7,4,False,0.13224595220484042,0.23215996353805518,-0.09991401133321476,0.03125,40,1,POST_HOC_DIAGNOSTIC_ONLY
Nongzhanguan,7,5,False,0.19682512430822308,0.24093301398332595,-0.044107889675102874,0.2421875,40,0,POST_HOC_DIAGNOSTIC_ONLY
Nongzhanguan,7,6,False,0.16479626084085125,0.24395085772983072,-0.07915459688897947,0.0859375,41,6,POST_HOC_DIAGNOSTIC_ONLY
Shunyi,7,0,True,0.07999376617622049,0.25820694649711606,-0.17821318032089556,0.0078125,41,5,REGISTERED
Shunyi,7,1,False,0.07062161862887473,0.26811576469274684,-0.1974941460638721,0.0078125,41,4,POST_HOC_DIAGNOSTIC_ONLY
Shunyi,7,2,False,0.0683896773964548,0.25918141445275933,-0.19079173705630453,0.0078125,39,3,POST_HOC_DIAGNOSTIC_ONLY
Shunyi,7,3,False,0.07450300046370247,0.2605437487231169,-0.18604074825941447,0.0078125,40,2,POST_HOC_DIAGNOSTIC_ONLY
Shunyi,7,4,False,0.15567212661121077,0.2619328940252221,-0.1062607674140113,0.0390625,40,1,POST_HOC_DIAGNOSTIC_ONLY
Shunyi,7,5,False,0.1843378001910822,0.252554234474231,-0.06821643428314877,0.09375,40,0,POST_HOC_DIAGNOSTIC_ONLY
Shunyi,7,6,False,0.09767285798662742,0.2604718001634758,-0.1627989421768484,0.0078125,41,6,POST_HOC_DIAGNOSTIC_ONLY
Tiantan,7,0,True,-0.02065985410315172,0.19243533252905368,-0.2130951866322054,0.0078125,41,5,REGISTERED
Tiantan,7,1,False,-0.025751525787439257,0.1880801495620153,-0.21383167534945455,0.0078125,41,4,POST_HOC_DIAGNOSTIC_ONLY
Tiantan,7,2,False,-0.029321924524487248,0.18669681781030345,-0.2160187423347907,0.0078125,39,3,POST_HOC_DIAGNOSTIC_ONLY
Tiantan,7,3,False,0.035736670253583,0.17863265039355342,-0.1428959801399704,0.015625,40,2,POST_HOC_DIAGNOSTIC_ONLY
Tiantan,7,4,False,0.01659095223558793,0.17914174667909666,-0.16255079444350873,0.0078125,40,1,POST_HOC_DIAGNOSTIC_ONLY
Tiantan,7,5,False,0.0030528975744713183,0.18590696844706062,-0.18285407087258929,0.015625,40,0,POST_HOC_DIAGNOSTIC_ONLY
Tiantan,7,6,False,-0.034011524137561824,0.2049424791515285,-0.23895400328909033,0.0078125,41,6,POST_HOC_DIAGNOSTIC_ONLY
Wanliu,7,0,True,0.15031364660000385,0.3061757953745399,-0.15586214877453608,0.015625,41,5,REGISTERED
Wanliu,7,1,False,0.1234589067618358,0.3047040521529396,-0.1812451453911038,0.0078125,41,4,POST_HOC_DIAGNOSTIC_ONLY
Wanliu,7,2,False,0.11245867098360737,0.3082221457477449,-0.19576347476413755,0.0078125,39,3,POST_HOC_DIAGNOSTIC_ONLY
Wanliu,7,3,False,0.06658798693205943,0.30864537938283565,-0.24205739245077623,0.0078125,40,2,POST_HOC_DIAGNOSTIC_ONLY
Wanliu,7,4,False,0.15368334189412972,0.30048498763387366,-0.14680164573974394,0.015625,40,1,POST_HOC_DIAGNOSTIC_ONLY
Wanliu,7,5,False,0.19462246443963427,0.29522574432126314,-0.10060327988162887,0.0234375,40,0,POST_HOC_DIAGNOSTIC_ONLY
Wanliu,7,6,False,0.16197709487094517,0.304606241043779,-0.14262914617283382,0.0078125,41,6,POST_HOC_DIAGNOSTIC_ONLY
Wanshouxigong,7,0,True,0.07099445141142566,0.19526587748299568,-0.12427142607157002,0.0234375,41,5,REGISTERED
Wanshouxigong,7,1,False,0.045016172861349714,0.18978961067054095,-0.14477343780919125,0.0078125,41,4,POST_HOC_DIAGNOSTIC_ONLY
Wanshouxigong,7,2,False,0.021970734010123602,0.20102813342246428,-0.17905739941234067,0.0078125,39,3,POST_HOC_DIAGNOSTIC_ONLY
Wanshouxigong,7,3,False,0.0013844509123296387,0.20863160676585923,-0.2072471558535296,0.0078125,40,2,POST_HOC_DIAGNOSTIC_ONLY
Wanshouxigong,7,4,False,0.05616149891620095,0.2046499102469622,-0.14848841133076124,0.015625,40,1,POST_HOC_DIAGNOSTIC_ONLY
Wanshouxigong,7,5,False,0.049197748956088555,0.20209585144956504,-0.1528981024934765,0.0078125,40,0,POST_HOC_DIAGNOSTIC_ONLY
Wanshouxigong,7,6,False,0.06658105457434443,0.19652178929335629,-0.12994073471901185,0.015625,41,6,POST_HOC_DIAGNOSTIC_ONLY
Aotizhongxin,8,0,True,0.08523223531221409,0.2333554092153114,-0.14812317390309732,0.0078125,42,5,REGISTERED
Aotizhongxin,8,1,False,0.06769335211550813,0.23125084363094423,-0.16355749151543608,0.0078125,41,4,POST_HOC_DIAGNOSTIC_ONLY
Aotizhongxin,8,2,False,0.09423222079697775,0.22685410018248106,-0.1326218793855033,0.015625,39,3,POST_HOC_DIAGNOSTIC_ONLY
Aotizhongxin,8,3,False,0.040529861631100124,0.22498154400323708,-0.18445168237213697,0.0078125,42,2,POST_HOC_DIAGNOSTIC_ONLY
Aotizhongxin,8,4,False,0.04606325547359319,0.2278374918744144,-0.18177423640082122,0.015625,42,1,POST_HOC_DIAGNOSTIC_ONLY
Aotizhongxin,8,5,False,0.07393742160144137,0.23610997875091197,-0.1621725571494706,0.0078125,40,0,POST_HOC_DIAGNOSTIC_ONLY
Aotizhongxin,8,6,False,0.0643213491827933,0.23680618084487368,-0.1724848316620804,0.015625,42,7,POST_HOC_DIAGNOSTIC_ONLY
Aotizhongxin,8,7,False,0.07067737504544747,0.23980431847708167,-0.1691269434316342,0.015625,41,6,POST_HOC_DIAGNOSTIC_ONLY
Changping,8,0,True,0.15464583525178818,0.2634299466580692,-0.108784111406281,0.0625,42,5,REGISTERED
Changping,8,1,False,0.1224667729186781,0.26501473779570195,-0.14254796487702387,0.015625,41,4,POST_HOC_DIAGNOSTIC_ONLY
Changping,8,2,False,0.13958426592965856,0.26009205860247897,-0.12050779267282041,0.0703125,39,3,POST_HOC_DIAGNOSTIC_ONLY
Changping,8,3,False,0.07493648438618596,0.25770019527625215,-0.1827637108900662,0.0078125,42,2,POST_HOC_DIAGNOSTIC_ONLY
Changping,8,4,False,0.08196409921454512,0.2555883209274367,-0.1736242217128916,0.0078125,42,1,POST_HOC_DIAGNOSTIC_ONLY
