fixture,phi,N,sample_length,missingness,parent_count,parent_correlation,replicates,upper_tail_detection_rate,sign_error_rate,median_null_minus_observed,status
bursty_episodes,0.92,6,1461,fixture-specific,12,0.0,24,0.041666666666666664,0.75,0.011365268639267123,FROZEN_FORENSIC_CALIBRATION
bursty_episodes,0.92,10,1461,fixture-specific,12,0.0,24,0.0,1.0,0.1379735869978434,FROZEN_FORENSIC_CALIBRATION
bursty_episodes,0.92,14,1461,fixture-specific,12,0.0,24,0.0,1.0,0.24055708511894144,FROZEN_FORENSIC_CALIBRATION
bursty_episodes,0.95,6,1461,fixture-specific,12,0.0,24,0.20833333333333334,0.2916666666666667,-0.009986252151500064,FROZEN_FORENSIC_CALIBRATION
bursty_episodes,0.95,10,1461,fixture-specific,12,0.0,24,0.0,1.0,0.09271296814813634,FROZEN_FORENSIC_CALIBRATION
bursty_episodes,0.95,14,1461,fixture-specific,12,0.0,24,0.0,1.0,0.15937280207737703,FROZEN_FORENSIC_CALIBRATION
seasonal_local_shift,-0.9,6,1461,fixture-specific,12,0.0,24,1.0,1.0,-0.4228920482795798,FROZEN_FORENSIC_CALIBRATION
seasonal_local_shift,-0.9,10,1461,fixture-specific,12,0.0,24,1.0,1.0,-0.27323933892598357,FROZEN_FORENSIC_CALIBRATION
seasonal_local_shift,-0.9,14,1461,fixture-specific,12,0.0,24,1.0,1.0,-0.22338772997211187,FROZEN_FORENSIC_CALIBRATION
seasonal_local_shift,-0.6,6,1461,fixture-specific,12,0.0,24,1.0,1.0,-0.1317232732878949,FROZEN_FORENSIC_CALIBRATION
seasonal_local_shift,-0.6,10,1461,fixture-specific,12,0.0,24,1.0,1.0,-0.10519131875842064,FROZEN_FORENSIC_CALIBRATION
seasonal_local_shift,-0.6,14,1461,fixture-specific,12,0.0,24,1.0,1.0,-0.06898093953106044,FROZEN_FORENSIC_CALIBRATION
seasonal_local_shift,-0.3,6,1461,fixture-specific,12,0.0,24,1.0,1.0,-0.07079471220039785,FROZEN_FORENSIC_CALIBRATION
seasonal_local_shift,-0.3,10,1461,fixture-specific,12,0.0,24,1.0,1.0,-0.058987976412315846,FROZEN_FORENSIC_CALIBRATION
seasonal_local_shift,-0.3,14,1461,fixture-specific,12,0.0,24,0.9166666666666666,1.0,-0.038219269367283426,FROZEN_FORENSIC_CALIBRATION
seasonal_local_shift,0.0,6,1461,fixture-specific,12,0.0,24,0.3333333333333333,0.0,-0.02125221125102561,FROZEN_FORENSIC_CALIBRATION
seasonal_local_shift,0.0,10,1461,fixture-specific,12,0.0,24,0.5416666666666666,0.0,-0.029368909741301297,FROZEN_FORENSIC_CALIBRATION
