station,condition,N,observed_score,null_median,observed_minus_null_median,signed_robust_z,absolute_robust_z,upper_tail_local_p,lower_tail_local_p,two_sided_local_p,rank_among_128_ascending,null_quantile,effect_direction,status
Changping,baseline,10,0.0650538658962167,0.2874996760017626,-0.22244581010554593,-4.641519319288808,4.641519319288808,1.0,0.0078125,0.015625,1,0.00390625,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY
Changping,baseline,11,0.10999622989894046,0.30526153959622654,-0.19526530969728606,-3.4941573464222815,3.4941573464222815,1.0,0.0078125,0.015625,1,0.00390625,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY
Changping,baseline,12,0.11894854148845155,0.31751269912429253,-0.19856415763584098,-3.065465906994662,3.065465906994662,0.9921875,0.015625,0.03125,2,0.01171875,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY
Changping,baseline,13,0.07919654894717107,0.30939721494852546,-0.2302006660013544,-3.624175001327874,3.624175001327874,1.0,0.0078125,0.015625,1,0.00390625,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY
Changping,baseline,14,0.11865294737245595,0.31739201362669944,-0.19873906625424348,-3.300537449559307,3.300537449559307,1.0,0.0078125,0.015625,1,0.00390625,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY
Changping,calibration_scale_095,6,0.09094840225445004,0.21576893639649872,-0.12482053414204868,-2.1741645880134772,2.1741645880134772,1.0,0.0078125,0.015625,1,0.00390625,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY
Changping,calibration_scale_095,7,0.08130626937317983,0.24326761536798358,-0.16196134599480375,-2.8256282296252357,2.8256282296252357,1.0,0.0078125,0.015625,1,0.00390625,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY
Changping,calibration_scale_095,8,0.15455079466142221,0.26357658331511213,-0.10902578865368992,-1.6763358041764567,1.6763358041764567,0.9453125,0.0625,0.125,8,0.05859375,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY
Changping,calibration_scale_095,9,0.11854174988406753,0.2742301313559053,-0.15568838147183778,-2.325363925806013,2.325363925806013,0.9921875,0.015625,0.03125,2,0.01171875,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY
Changping,calibration_scale_095,10,0.06505958412547902,0.28763226883372445,-0.22257268470824543,-4.6525672204470165,4.6525672204470165,1.0,0.0078125,0.015625,1,0.00390625,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY
Changping,calibration_scale_095,11,0.10998404258289625,0.30549266753994786,-0.19550862495705162,-3.5215314025548254,3.5215314025548254,1.0,0.0078125,0.015625,1,0.00390625,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY
Changping,calibration_scale_095,12,0.1189430191854051,0.3174885546975849,-0.1985455355121798,-3.0599515974758686,3.0599515974758686,0.9921875,0.015625,0.03125,2,0.01171875,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY
Changping,calibration_scale_095,13,0.07922457641692235,0.30947892666935944,-0.2302543502524371,-3.6248705307751523,3.6248705307751523,1.0,0.0078125,0.015625,1,0.00390625,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY
Changping,calibration_scale_095,14,0.1186462262223305,0.3175266381751037,-0.19888041195277317,-3.3163780316750535,3.3163780316750535,1.0,0.0078125,0.015625,1,0.00390625,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY
Changping,calibration_scale_105,6,0.09101052444207125,0.21559273261719697,-0.12458220817512572,-2.1857075999742905,2.1857075999742905,1.0,0.0078125,0.015625,1,0.00390625,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY
Changping,calibration_scale_105,7,0.08106957746377925,0.24294876201955265,-0.16187918455577338,-2.814921753188499,2.814921753188499,1.0,0.0078125,0.015625,1,0.00390625,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY
Changping,calibration_scale_105,8,0.15473169520297095,0.26329619556640194,-0.10856450036343099,-1.6647427323060102,1.6647427323060102,0.9375,0.0703125,0.140625,9,0.06640625,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY
Changping,calibration_scale_105,9,0.11856266918480375,0.27405999379868995,-0.1554973246138862,-2.3358874411591293,2.3358874411591293,0.9921875,0.015625,0.03125,2,0.01171875,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY
Changping,calibration_scale_105,10,0.06504893039651881,0.2873789998316618,-0.222330069435143,-4.631430898507776,4.631430898507776,1.0,0.0078125,0.015625,1,0.00390625,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY
Changping,calibration_scale_105,11,0.1100076798841102,0.3050505765151799,-0.19504289663106972,-3.469512449582031,3.469512449582031,1.0,0.0078125,0.015625,1,0.00390625,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY
Changping,calibration_scale_105,12,0.11895407642068355,0.31753393806590713,-0.19857986164522357,-3.070424961293062,3.070424961293062,0.9921875,0.015625,0.03125,2,0.01171875,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY
Changping,calibration_scale_105,13,0.07917116222658038,0.3093217287810348,-0.23015056655445443,-3.619626192041719,3.619626192041719,1.0,0.0078125,0.015625,1,0.00390625,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY
Changping,calibration_scale_105,14,0.11865943213780866,0.3172693383054279,-0.19860990616761925,-3.285171542005433,3.285171542005433,1.0,0.0078125,0.015625,1,0.00390625,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY
Changping,sensor_noise_001,6,0.0920211077858783,0.21749937930022817,-0.12547827151434987,-2.247719177686636,2.247719177686636,1.0,0.0078125,0.015625,1,0.00390625,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY
Changping,sensor_noise_001,7,0.08267414465573579,0.24400911071439849,-0.1613349660586627,-2.8032902292800284,2.8032902292800284,1.0,0.0078125,0.015625,1,0.00390625,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY
Changping,sensor_noise_001,8,0.15527218421674355,0.264598100421876,-0.10932591620513243,-1.7755143353780407,1.7755143353780407,0.953125,0.0546875,0.109375,7,0.05078125,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY
Changping,sensor_noise_001,9,0.11958486933197678,0.27583014411065304,-0.15624527477867628,-2.373549675701798,2.373549675701798,0.9921875,0.015625,0.03125,2,0.01171875,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY
Changping,sensor_noise_001,10,0.06479233229281452,0.2896256826971413,-0.22483335040432678,-4.809596040562694,4.809596040562694,1.0,0.0078125,0.015625,1,0.00390625,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY
Changping,sensor_noise_001,11,0.10977549573327496,0.30768064641967496,-0.19790515068640002,-3.554973378859396,3.554973378859396,1.0,0.0078125,0.015625,1,0.00390625,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY
Changping,sensor_noise_001,12,0.11724348599241975,0.3167434652468965,-0.19949997925447677,-3.061763779715608,3.061763779715608,0.9921875,0.015625,0.03125,2,0.01171875,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY
Changping,sensor_noise_001,13,0.07888567685633421,0.31060571556475314,-0.23172003870841892,-3.6556386258381393,3.6556386258381393,1.0,0.0078125,0.015625,1,0.00390625,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY
Changping,sensor_noise_001,14,0.11707466538910231,0.3179754644809558,-0.2009007990918535,-3.4326262009464483,3.4326262009464483,1.0,0.0078125,0.015625,1,0.00390625,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY
Changping,outage_6h_30d,6,0.08746738982162981,0.20993771595414604,-0.12247032613251622,-2.1592384591437574,2.1592384591437574,1.0,0.0078125,0.015625,1,0.00390625,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY
Changping,outage_6h_30d,7,0.07880378069129221,0.23166720491631618,-0.15286342422502397,-2.2945438049157234,2.2945438049157234,1.0,0.0078125,0.015625,1,0.00390625,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY
Changping,outage_6h_30d,8,0.15354464233239098,0.2563406733320725,-0.10279603099968151,-1.5689358764818966,1.5689358764818966,0.9296875,0.078125,0.15625,10,0.07421875,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY
Changping,outage_6h_30d,9,0.1301536735040797,0.2613970348160325,-0.1312433613119528,-2.0313362295766426,2.0313362295766426,0.984375,0.0234375,0.046875,3,0.01953125,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY
Changping,outage_6h_30d,10,0.06817562810306349,0.28489794192792944,-0.21672231382486595,-4.3468430483720075,4.3468430483720075,1.0,0.0078125,0.015625,1,0.00390625,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY
