condition,N,positive_parent_count,negative_parent_count,ties,upper_tail_exact_sign_p,lower_tail_exact_sign_p,two_sided_exact_sign_p,median_signed_effect,median_absolute_effect,directional_consensus,status,upper_tail_holm_p,lower_tail_holm_p,two_sided_holm_p
day_order_swap_010,6,0,12,0,1.0,0.000244140625,0.00048828125,-0.12358499263614775,0.12358499263614775,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY,1.0,0.002197265625,0.00439453125
day_order_swap_010,7,0,12,0,1.0,0.000244140625,0.00048828125,-0.11771000694958256,0.11771000694958256,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY,1.0,0.002197265625,0.00439453125
day_order_swap_010,8,0,12,0,1.0,0.000244140625,0.00048828125,-0.10436466244796037,0.10436466244796037,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY,1.0,0.002197265625,0.00439453125
day_order_swap_010,9,0,12,0,1.0,0.000244140625,0.00048828125,-0.14496468370409993,0.14496468370409993,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY,1.0,0.002197265625,0.00439453125
day_order_swap_010,10,0,12,0,1.0,0.000244140625,0.00048828125,-0.20092022740946158,0.20092022740946158,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY,1.0,0.002197265625,0.00439453125
day_order_swap_010,11,0,12,0,1.0,0.000244140625,0.00048828125,-0.23760262795044224,0.23760262795044224,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY,1.0,0.002197265625,0.00439453125
day_order_swap_010,12,0,12,0,1.0,0.000244140625,0.00048828125,-0.19344576372434102,0.19344576372434102,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY,1.0,0.002197265625,0.00439453125
day_order_swap_010,13,0,12,0,1.0,0.000244140625,0.00048828125,-0.21689178152767324,0.21689178152767324,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY,1.0,0.002197265625,0.00439453125
day_order_swap_010,14,0,12,0,1.0,0.000244140625,0.00048828125,-0.20018756928938106,0.20018756928938106,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY,1.0,0.002197265625,0.00439453125
cyclic_adjacency,6,0,12,0,1.0,0.000244140625,0.00048828125,-0.14909640747104458,0.14909640747104458,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY,1.0,0.002197265625,0.00439453125
cyclic_adjacency,7,0,12,0,1.0,0.000244140625,0.00048828125,-0.14840332495248365,0.14840332495248365,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY,1.0,0.002197265625,0.00439453125
cyclic_adjacency,8,0,12,0,1.0,0.000244140625,0.00048828125,-0.12711502917488135,0.12711502917488135,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY,1.0,0.002197265625,0.00439453125
cyclic_adjacency,9,0,12,0,1.0,0.000244140625,0.00048828125,-0.14758761043424062,0.14758761043424062,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY,1.0,0.002197265625,0.00439453125
cyclic_adjacency,10,0,12,0,1.0,0.000244140625,0.00048828125,-0.22746867555163008,0.22746867555163008,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY,1.0,0.002197265625,0.00439453125
cyclic_adjacency,11,0,12,0,1.0,0.000244140625,0.00048828125,-0.24924491020298337,0.24924491020298337,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY,1.0,0.002197265625,0.00439453125
cyclic_adjacency,12,0,12,0,1.0,0.000244140625,0.00048828125,-0.18245193369614338,0.18245193369614338,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY,1.0,0.002197265625,0.00439453125
cyclic_adjacency,13,0,12,0,1.0,0.000244140625,0.00048828125,-0.23171311612218343,0.23171311612218343,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY,1.0,0.002197265625,0.00439453125
cyclic_adjacency,14,0,12,0,1.0,0.000244140625,0.00048828125,-0.2071075667316638,0.2071075667316638,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY,1.0,0.002197265625,0.00439453125
