station,N,observed_closure_error,null_median_closure_error,observed_minus_null_median,closure_local_p_less_equal,observed_winner,status
Gucheng,17,1.427976172796687,1.3874958439642493,0.040480328832437795,0.984375,False,POST_HOC_DIAGNOSTIC_ONLY
Gucheng,18,1.4175239555120354,1.388159406409974,0.02936454910206132,0.96875,False,POST_HOC_DIAGNOSTIC_ONLY
Gucheng,19,1.4026003385473031,1.3855760785819893,0.01702425996531387,0.796875,False,POST_HOC_DIAGNOSTIC_ONLY
Gucheng,20,1.413508333378161,1.3882510948818862,0.025257238496274814,0.9453125,False,POST_HOC_DIAGNOSTIC_ONLY
Huairou,4,1.4279317849766269,1.3769115729887187,0.05102021198790818,1.0,False,POST_HOC_DIAGNOSTIC_ONLY
Huairou,5,1.4179623900769158,1.378905777545626,0.03905661253128989,0.9921875,False,POST_HOC_DIAGNOSTIC_ONLY
Huairou,6,1.4041807538071165,1.3808514658473705,0.02332928795974598,0.875,False,POST_HOC_DIAGNOSTIC_ONLY
Huairou,7,1.4037466275628938,1.377216641040043,0.026529986522850768,0.921875,False,POST_HOC_DIAGNOSTIC_ONLY
Huairou,8,1.3789460559385345,1.3802201904630675,-0.001274134524533066,0.453125,True,POST_HOC_DIAGNOSTIC_ONLY
Huairou,9,1.378991547476954,1.3828240950265673,-0.0038325475496132633,0.453125,False,POST_HOC_DIAGNOSTIC_ONLY
Huairou,10,1.395327112957609,1.3805031728286163,0.014823940128992685,0.734375,False,POST_HOC_DIAGNOSTIC_ONLY
Huairou,11,1.39634552599679,1.386299165199602,0.010046360797188125,0.75,False,POST_HOC_DIAGNOSTIC_ONLY
Huairou,12,1.393775819723818,1.386226488348532,0.007549331375285906,0.671875,False,POST_HOC_DIAGNOSTIC_ONLY
Huairou,13,1.3986647088269326,1.3853943842394651,0.013270324587467464,0.7421875,False,POST_HOC_DIAGNOSTIC_ONLY
Huairou,14,1.390459660297813,1.384762383710319,0.005697276587494082,0.5625,False,POST_HOC_DIAGNOSTIC_ONLY
Huairou,15,1.384359290172313,1.3843106951355462,4.859503676679644e-05,0.5078125,False,POST_HOC_DIAGNOSTIC_ONLY
Huairou,16,1.4071517332938293,1.3868072982795143,0.020344435014314932,0.875,False,POST_HOC_DIAGNOSTIC_ONLY
Huairou,17,1.4345881841707417,1.3870756317378907,0.04751255243285102,0.9921875,False,POST_HOC_DIAGNOSTIC_ONLY
Huairou,18,1.428123998461243,1.3877079613269447,0.04041603713429831,0.9921875,False,POST_HOC_DIAGNOSTIC_ONLY
Huairou,19,1.4219911350203596,1.3916048824675757,0.03038625255278382,0.9453125,False,POST_HOC_DIAGNOSTIC_ONLY
Huairou,20,1.416953448911872,1.3914733732074254,0.02548007570444666,0.9375,False,POST_HOC_DIAGNOSTIC_ONLY
Nongzhanguan,4,1.4348066671845177,1.374784953390158,0.06002171379435972,1.0,False,POST_HOC_DIAGNOSTIC_ONLY
Nongzhanguan,5,1.41516253433502,1.375109951200404,0.040052583134616127,0.9921875,False,POST_HOC_DIAGNOSTIC_ONLY
Nongzhanguan,6,1.4097173476469502,1.3782704334881108,0.03144691415883938,0.9609375,False,POST_HOC_DIAGNOSTIC_ONLY
Nongzhanguan,7,1.4026473261805585,1.3778676155526768,0.024779710627881757,0.8984375,False,POST_HOC_DIAGNOSTIC_ONLY
Nongzhanguan,8,1.3801240788812024,1.3783197710490085,0.0018043078321938744,0.53125,False,POST_HOC_DIAGNOSTIC_ONLY
Nongzhanguan,9,1.3554834988989068,1.3783334547153332,-0.02284995581642635,0.109375,True,POST_HOC_DIAGNOSTIC_ONLY
Nongzhanguan,10,1.375844838386276,1.3791841545406556,-0.0033393161543795458,0.3984375,False,POST_HOC_DIAGNOSTIC_ONLY
Nongzhanguan,11,1.391683861010366,1.3822461537197765,0.009437707290589348,0.6953125,False,POST_HOC_DIAGNOSTIC_ONLY
Nongzhanguan,12,1.4002380842247917,1.383330485142508,0.016907599082283786,0.8046875,False,POST_HOC_DIAGNOSTIC_ONLY
Nongzhanguan,13,1.4085792674834379,1.3838314745674611,0.02474779291597673,0.9140625,False,POST_HOC_DIAGNOSTIC_ONLY
