null_family,station,N,observed_score,null_median,null_minus_observed,upper_tail_local_p_32,lower_tail_local_p_32,status
fixed_7d_block_permutation,Aotizhongxin,9,0.09032450577931139,0.009951489081695748,-0.08037301669761565,0.1875,0.84375,POST_HOC_DIAGNOSTIC_ONLY
fixed_7d_block_permutation,Aotizhongxin,10,0.028324471031466982,0.02273186752055317,-0.005592603510913813,0.46875,0.5625,POST_HOC_DIAGNOSTIC_ONLY
fixed_7d_block_permutation,Aotizhongxin,11,0.003981652392786136,0.015361895891057159,0.011380243498271023,0.59375,0.4375,POST_HOC_DIAGNOSTIC_ONLY
fixed_7d_block_permutation,Aotizhongxin,12,0.06922958596102723,-0.005360090590394765,-0.07458967655142199,0.3125,0.71875,POST_HOC_DIAGNOSTIC_ONLY
fixed_7d_block_permutation,Aotizhongxin,13,0.037786416000372726,0.03638170661596234,-0.0014047093844103825,0.5,0.53125,POST_HOC_DIAGNOSTIC_ONLY
fixed_7d_block_permutation,Aotizhongxin,14,0.09911133690934504,0.008237142564377204,-0.09087419434496784,0.25,0.78125,POST_HOC_DIAGNOSTIC_ONLY
fixed_7d_block_permutation,Changping,6,0.0909805871333257,-0.0029819978430167537,-0.09396258497634245,0.21875,0.8125,POST_HOC_DIAGNOSTIC_ONLY
fixed_7d_block_permutation,Changping,7,0.08118355593820688,-0.0026374740433130575,-0.08382102998151994,0.09375,0.9375,POST_HOC_DIAGNOSTIC_ONLY
fixed_7d_block_permutation,Changping,8,0.15464583525178818,0.0008625374569584969,-0.1537832977948297,0.03125,1.0,POST_HOC_DIAGNOSTIC_ONLY
fixed_7d_block_permutation,Changping,9,0.1185524798552777,-0.007752701669924837,-0.12630518152520254,0.0625,0.96875,POST_HOC_DIAGNOSTIC_ONLY
fixed_7d_block_permutation,Changping,10,0.06505386589621673,-0.0022248333995971443,-0.06727869929581387,0.25,0.78125,POST_HOC_DIAGNOSTIC_ONLY
fixed_7d_block_permutation,Changping,11,0.10999622989894052,0.013322819691349536,-0.09667341020759099,0.1875,0.84375,POST_HOC_DIAGNOSTIC_ONLY
fixed_7d_block_permutation,Changping,12,0.11894854148845145,0.04003000564783406,-0.0789185358406174,0.15625,0.875,POST_HOC_DIAGNOSTIC_ONLY
fixed_7d_block_permutation,Changping,13,0.07919654894717108,0.03330506788532753,-0.045891481061843556,0.34375,0.6875,POST_HOC_DIAGNOSTIC_ONLY
fixed_7d_block_permutation,Changping,14,0.11865294737245605,-0.0014180935480548969,-0.12007104092051095,0.25,0.78125,POST_HOC_DIAGNOSTIC_ONLY
fixed_7d_block_permutation,Dingling,6,0.09710537868217659,0.00905314482685474,-0.08805223385532185,0.09375,0.9375,POST_HOC_DIAGNOSTIC_ONLY
fixed_7d_block_permutation,Dingling,7,0.13741994403860197,-0.017212720721597935,-0.1546326647601999,0.0625,0.96875,POST_HOC_DIAGNOSTIC_ONLY
fixed_7d_block_permutation,Dingling,8,0.1791568875894824,-0.014897255863540924,-0.19405414345302333,0.03125,1.0,POST_HOC_DIAGNOSTIC_ONLY
fixed_7d_block_permutation,Dingling,9,0.08183899920183463,-0.010598394501612096,-0.09243739370344672,0.09375,0.9375,POST_HOC_DIAGNOSTIC_ONLY
fixed_7d_block_permutation,Dingling,10,0.05082228062679052,0.01765672836570801,-0.03316555226108251,0.375,0.65625,POST_HOC_DIAGNOSTIC_ONLY
fixed_7d_block_permutation,Dingling,11,0.10836385144013254,0.008060646142240255,-0.10030320529789229,0.125,0.90625,POST_HOC_DIAGNOSTIC_ONLY
fixed_7d_block_permutation,Dingling,12,0.12135130549103275,0.0201732697337468,-0.10117803575728596,0.125,0.90625,POST_HOC_DIAGNOSTIC_ONLY
fixed_7d_block_permutation,Dingling,13,0.057601110434825936,0.014116765722656363,-0.043484344712169574,0.40625,0.625,POST_HOC_DIAGNOSTIC_ONLY
fixed_7d_block_permutation,Dingling,14,0.066966727655712,-0.038661640562697996,-0.10562836821841,0.21875,0.8125,POST_HOC_DIAGNOSTIC_ONLY
fixed_7d_block_permutation,Dongsi,6,0.11857430450108279,0.017084899550158267,-0.10148940495092452,0.0625,0.96875,POST_HOC_DIAGNOSTIC_ONLY
fixed_7d_block_permutation,Dongsi,7,0.14134637965120986,0.005044721780978737,-0.13630165787023113,0.03125,1.0,POST_HOC_DIAGNOSTIC_ONLY
fixed_7d_block_permutation,Dongsi,8,0.18777808964249582,0.017280750053767342,-0.17049733958872848,0.09375,0.9375,POST_HOC_DIAGNOSTIC_ONLY
fixed_7d_block_permutation,Dongsi,9,0.22155679300434367,0.020566946741928,-0.20098984626241567,0.0625,0.96875,POST_HOC_DIAGNOSTIC_ONLY
