station,left_condition,right_condition,overlap_days,canonical_rmse,canonical_correlation,effectively_equivalent
Tiantan,calibration_scale_095,day_order_swap_010,1425,0.3247085881155556,0.9363318438847748,False
Tiantan,calibration_scale_095,cyclic_adjacency,1425,0.0011439105739035548,0.9999997195922937,True
Tiantan,calibration_scale_105,sensor_noise_001,1425,0.013436833880058884,0.9998942611313005,False
Tiantan,calibration_scale_105,outage_6h_30d,1420,0.05029785379983159,0.9984873165529308,False
Tiantan,calibration_scale_105,outage_24h_90d,1408,0.011077949690819584,0.9999562135025366,False
Tiantan,calibration_scale_105,day_order_swap_010,1425,0.3249150664041965,0.9363494507445278,False
Tiantan,calibration_scale_105,cyclic_adjacency,1425,0.001042059210117795,0.9999997674242042,True
Tiantan,sensor_noise_001,outage_6h_30d,1420,0.052158420564424796,0.9983908847867331,False
Tiantan,sensor_noise_001,outage_24h_90d,1408,0.016979849522288232,0.9998414584438602,False
Tiantan,sensor_noise_001,day_order_swap_010,1425,0.3252846962459029,0.9363584730080201,False
Tiantan,sensor_noise_001,cyclic_adjacency,1425,0.013500011599704317,0.9998954646500808,False
Tiantan,outage_6h_30d,outage_24h_90d,1405,0.024640622147223443,0.9997210587315122,False
Tiantan,outage_6h_30d,day_order_swap_010,1420,0.32520882430392517,0.9358830046707016,False
Tiantan,outage_6h_30d,cyclic_adjacency,1420,0.05018463825303351,0.9984876714287837,False
Tiantan,outage_24h_90d,day_order_swap_010,1408,0.3263539876588663,0.9359486463380156,False
Tiantan,outage_24h_90d,cyclic_adjacency,1408,0.011496022006503763,0.9999562385079724,False
Tiantan,day_order_swap_010,cyclic_adjacency,1425,0.3248148592765735,0.9363412955903898,False
Wanliu,baseline,calibration_scale_095,1449,0.0012181653296096417,0.9999996178851686,True
Wanliu,baseline,calibration_scale_105,1449,0.0011112314234259988,0.9999996821844108,True
Wanliu,baseline,sensor_noise_001,1449,0.014225562417959612,0.9998975496583873,False
Wanliu,baseline,outage_6h_30d,1444,0.06576891245103395,0.9975726628907892,False
Wanliu,baseline,outage_24h_90d,1432,0.002260455839174055,0.9999979697578056,True
Wanliu,baseline,day_order_swap_010,1447,0.26833578492902316,0.9594475038857844,False
Wanliu,baseline,cyclic_adjacency,1449,0.0,0.9999999999999999,True
Wanliu,calibration_scale_095,calibration_scale_105,1449,0.002329394262857861,0.9999986031040505,True
Wanliu,calibration_scale_095,sensor_noise_001,1449,0.013926747841296796,0.9998981350171015,False
Wanliu,calibration_scale_095,outage_6h_30d,1444,0.06568817024523997,0.9975752644121504,False
Wanliu,calibration_scale_095,outage_24h_90d,1432,0.002874563447542906,0.999997550518231,True
Wanliu,calibration_scale_095,day_order_swap_010,1447,0.26828127991697365,0.9594352714773693,False
Wanliu,calibration_scale_095,cyclic_adjacency,1449,0.0012181653296096417,0.9999996178851684,True
Wanliu,calibration_scale_105,sensor_noise_001,1449,0.014581956766863927,0.999896345039551,False
Wanliu,calibration_scale_105,outage_6h_30d,1444,0.06586209716721295,0.9975696259562188,False
Wanliu,calibration_scale_105,outage_24h_90d,1432,0.0021923603906452995,0.9999976838129475,True
Wanliu,calibration_scale_105,day_order_swap_010,1447,0.26839028749051674,0.9594580203051771,False
Wanliu,calibration_scale_105,cyclic_adjacency,1449,0.0011112314234259988,0.9999996821844107,True
Wanliu,sensor_noise_001,outage_6h_30d,1444,0.06626582989404628,0.9975291158519707,False
Wanliu,sensor_noise_001,outage_24h_90d,1432,0.01491955971208156,0.9998921111940394,False
