station,condition,N,eligible,observed_score,null_median,null_mad,local_p,robust_z,issue_code
Dingling,sensor_noise_001,7,True,0.1400664443968474,0.26561316052291606,0.03737712396149309,0.984375,-2.26555954377079,
Dingling,sensor_noise_001,8,True,0.1813440215824768,0.2822971613371744,0.03795972127485442,0.9375,-1.7937950442696973,
Dingling,sensor_noise_001,9,True,0.08354696943696048,0.2974335230443091,0.03879721187339907,1.0,-3.7184245212054936,
Dingling,sensor_noise_001,10,True,0.0523447489610845,0.31144051851767185,0.04192883219631055,1.0,-4.167960165624955,
Dingling,sensor_noise_001,11,True,0.11087249526641701,0.32080620379403385,0.04393961272537372,1.0,-3.2225670123569827,
Dingling,sensor_noise_001,12,True,0.12319404428899146,0.32811962046170484,0.03934839459281009,1.0,-3.5127330845200118,
Dingling,sensor_noise_001,13,True,0.059268417051382014,0.3187845026141062,0.04252214833808721,1.0,-4.116471262361173,
Dingling,sensor_noise_001,14,True,0.06871807378987542,0.3200485486861476,0.051308194276179164,1.0,-3.3039572973454456,
Dingling,outage_6h_30d,6,True,0.09727941998874007,0.2503673446347545,0.032520840589569194,1.0,-3.175083690619754,
Dingling,outage_6h_30d,7,True,0.14264527837691052,0.2587273433825552,0.03755373507671189,0.9765625,-2.084913259022868,
Dingling,outage_6h_30d,8,True,0.177693666464128,0.2766794007528018,0.037074029993182545,0.9453125,-1.8008552916959202,
Dingling,outage_6h_30d,9,True,0.08697976282598688,0.2918459618681584,0.039284848098410485,1.0,-3.5173957612586153,
Dingling,outage_6h_30d,10,True,0.05987780229714172,0.31043719789492524,0.040264246050047414,1.0,-4.197272111358624,
Dingling,outage_6h_30d,11,True,0.07589908836573817,0.309286338080062,0.044437358974825425,1.0,-3.542459474271366,
Dingling,outage_6h_30d,12,True,0.1639081641434218,0.3171303558534153,0.04184843509617492,1.0,-2.4695535739301335,
Dingling,outage_6h_30d,13,True,0.06389959620983766,0.31467308031398433,0.043829943578736485,1.0,-3.8591059887208234,
Dingling,outage_6h_30d,14,True,0.08516776883463081,0.30750863930739003,0.050962243688044806,1.0,-2.9427052605032626,
Dingling,outage_24h_90d,6,True,0.09257840640681074,0.23265817935232,0.035143573576083414,1.0,-2.688471968759165,
Dingling,outage_24h_90d,7,True,0.1359481606780096,0.23738334935069472,0.04075035372369662,0.9765625,-1.6789326028771643,
Dingling,outage_24h_90d,8,True,0.17707601193324773,0.26416242951715296,0.036964856275452374,0.9296875,-1.5890494338340373,
Dingling,outage_24h_90d,9,True,0.06361086658444579,0.2789275121727539,0.03571449400954829,1.0,-4.066390742424735,
Dingling,outage_24h_90d,10,True,0.039557603933584366,0.28788790158878674,0.04100094468178522,1.0,-4.0851861430626295,
Dingling,outage_24h_90d,11,True,0.0585290099080111,0.28404082993432234,0.04066864650967386,1.0,-3.7401205059606424,
Dingling,outage_24h_90d,12,True,0.14097110242661484,0.30407991362191034,0.041866713189390004,1.0,-2.627753113619626,
Dingling,outage_24h_90d,13,True,0.04674738405387883,0.2997609248178689,0.045696661171036324,1.0,-3.734524380873842,
Dingling,outage_24h_90d,14,True,0.07145040021870078,0.2910540260869957,0.0507697174275053,1.0,-2.91749932638927,
Dingling,day_order_swap_010,6,True,0.07951533779460021,0.25083792973582414,0.03748104725348361,1.0,-3.083038325275045,
Dingling,day_order_swap_010,7,True,0.15042365290073842,0.2628482224027525,0.033740784112958,0.96875,-2.2474087446628377,
Dingling,day_order_swap_010,8,True,0.17887151097835477,0.2780362799636046,0.04105886690682947,0.953125,-1.6290201212312783,
Dingling,day_order_swap_010,9,True,0.05652185494014079,0.29870153724223913,0.04072487260172408,1.0,-4.011012126255922,
Dingling,day_order_swap_010,10,True,0.07032872162031258,0.30351831971376875,0.04404594579257881,1.0,-3.570912743269953,
Dingling,day_order_swap_010,11,True,0.1024524278610209,0.3127040800628557,0.03978868850463463,1.0,-3.564148553383608,
Dingling,day_order_swap_010,12,True,0.1048134422897784,0.32561913605494686,0.03969068597901837,1.0,-3.7523009847487736,
Dingling,day_order_swap_010,13,True,0.05078346317385615,0.31201058223503175,0.04857172523298925,1.0,-3.6275276837765245,
Dingling,day_order_swap_010,14,True,0.048204612383842604,0.30390724371755057,0.045656539625199055,1.0,-3.7775324942332307,
Dingling,cyclic_adjacency,6,True,0.09733822409795682,0.24919238839007857,0.033016419132203656,1.0,-3.1022210553165044,
Dingling,cyclic_adjacency,7,True,0.1361566783699921,0.2644389478566574,0.03796328105664859,0.984375,-2.2791814344057806,
Dingling,cyclic_adjacency,8,True,0.1789092925915584,0.28161104592059666,0.03739662492794682,0.9296875,-1.8523431923588871,
Dingling,cyclic_adjacency,9,True,0.0814678784938349,0.2947124343132249,0.03879452281655982,1.0,-3.7075203396360297,
Dingling,cyclic_adjacency,10,True,0.048997878507586703,0.30914722226727337,0.041411767859550475,1.0,-4.237161017730906,
Dingling,cyclic_adjacency,11,True,0.10658844936855892,0.3201385990244374,0.04247682513111928,1.0,-3.3909691268853694,
Dingling,cyclic_adjacency,12,True,0.12083984427467559,0.3274227196733115,0.0405131221886062,1.0,-3.439336022383184,
Dingling,cyclic_adjacency,13,True,0.0534005162415398,0.3159662139148642,0.04529627545575815,1.0,-3.9097726039121743,
Dingling,cyclic_adjacency,14,True,0.06460778915048764,0.318293130706118,0.04919373805768956,1.0,-3.478256084001535,
Dongsi,baseline,6,True,0.11857430450108279,0.26558719092689786,0.03014818513910436,1.0,-3.2890481785445287,
Dongsi,baseline,7,True,0.14134637965120986,0.2842504224037611,0.03532505007262274,0.9921875,-2.7285865449670044,
