parent_count,nested_replicates,ICC,effect_size,heterogeneity,missingness,projection_disagreement,multiple_testing_family_size,estimated_rejection_probability,simulation_replicates
4,1,0.3,0.4,0.0,0.0,0.0,1,0.2196,2500
4,1,0.3,0.4,0.4,0.0,0.0,1,0.226,2500
4,1,0.3,0.4,0.4,0.2,0.15,3,0.1524,2500
4,1,0.3,0.4,0.0,0.2,0.15,6,0.1468,2500
4,1,0.3,0.8,0.0,0.0,0.0,1,0.4452,2500
4,1,0.3,0.8,0.4,0.0,0.0,1,0.3976,2500
4,1,0.3,0.8,0.4,0.2,0.15,3,0.2176,2500
4,1,0.3,0.8,0.0,0.2,0.15,6,0.2088,2500
4,1,0.3,1.2,0.0,0.0,0.0,1,0.6648,2500
4,1,0.3,1.2,0.4,0.0,0.0,1,0.6632,2500
4,1,0.3,1.2,0.4,0.2,0.15,3,0.308,2500
4,1,0.3,1.2,0.0,0.2,0.15,6,0.2924,2500
4,1,0.6,0.0,0.0,0.0,0.0,1,0.1536,2500
4,1,0.6,0.0,0.4,0.0,0.0,1,0.154,2500
4,1,0.6,0.0,0.4,0.2,0.15,3,0.1376,2500
4,1,0.6,0.0,0.0,0.2,0.15,6,0.1128,2500
4,1,0.6,0.4,0.0,0.0,0.0,1,0.2144,2500
4,1,0.6,0.4,0.4,0.0,0.0,1,0.2088,2500
4,1,0.6,0.4,0.4,0.2,0.15,3,0.1444,2500
4,1,0.6,0.4,0.0,0.2,0.15,6,0.1436,2500
4,1,0.6,0.8,0.0,0.0,0.0,1,0.4496,2500
4,1,0.6,0.8,0.4,0.0,0.0,1,0.4016,2500
4,1,0.6,0.8,0.4,0.2,0.15,3,0.2212,2500
4,1,0.6,0.8,0.0,0.2,0.15,6,0.206,2500
4,1,0.6,1.2,0.0,0.0,0.0,1,0.684,2500
4,1,0.6,1.2,0.4,0.0,0.0,1,0.6212,2500
4,1,0.6,1.2,0.4,0.2,0.15,3,0.2952,2500
4,1,0.6,1.2,0.0,0.2,0.15,6,0.2976,2500
4,1,0.9,0.0,0.0,0.0,0.0,1,0.15,2500
4,1,0.9,0.0,0.4,0.0,0.0,1,0.148,2500
4,1,0.9,0.0,0.4,0.2,0.15,3,0.1336,2500
4,1,0.9,0.0,0.0,0.2,0.15,6,0.1152,2500
4,1,0.9,0.4,0.0,0.0,0.0,1,0.228,2500
4,1,0.9,0.4,0.4,0.0,0.0,1,0.2224,2500
4,1,0.9,0.4,0.4,0.2,0.15,3,0.1552,2500
4,1,0.9,0.4,0.0,0.2,0.15,6,0.1324,2500
4,1,0.9,0.8,0.0,0.0,0.0,1,0.43,2500
4,1,0.9,0.8,0.4,0.0,0.0,1,0.4032,2500
4,1,0.9,0.8,0.4,0.2,0.15,3,0.2304,2500
4,1,0.9,0.8,0.0,0.2,0.15,6,0.2036,2500
4,1,0.9,1.2,0.0,0.0,0.0,1,0.6772,2500
4,1,0.9,1.2,0.4,0.0,0.0,1,0.6424,2500
4,1,0.9,1.2,0.4,0.2,0.15,3,0.3292,2500
4,1,0.9,1.2,0.0,0.2,0.15,6,0.292,2500
4,10,0.0,0.0,0.0,0.0,0.0,1,0.1492,2500
4,10,0.0,0.0,0.4,0.0,0.0,1,0.142,2500
4,10,0.0,0.0,0.4,0.2,0.15,3,0.1472,2500
4,10,0.0,0.0,0.0,0.2,0.15,6,0.1252,2500
4,10,0.0,0.4,0.0,0.0,0.0,1,0.722,2500
4,10,0.0,0.4,0.4,0.0,0.0,1,0.4444,2500
4,10,0.0,0.4,0.4,0.2,0.15,3,0.2204,2500
4,10,0.0,0.4,0.0,0.2,0.15,6,0.3148,2500
4,10,0.0,0.8,0.0,0.0,0.0,1,0.9936,2500
4,10,0.0,0.8,0.4,0.0,0.0,1,0.8452,2500
4,10,0.0,0.8,0.4,0.2,0.15,3,0.3944,2500
4,10,0.0,0.8,0.0,0.2,0.15,6,0.5236,2500
4,10,0.0,1.2,0.0,0.0,0.0,1,1.0,2500
4,10,0.0,1.2,0.4,0.0,0.0,1,0.9864,2500
4,10,0.0,1.2,0.4,0.2,0.15,3,0.52,2500
4,10,0.0,1.2,0.0,0.2,0.15,6,0.5776,2500
4,10,0.3,0.0,0.0,0.0,0.0,1,0.1436,2500
4,10,0.3,0.0,0.4,0.0,0.0,1,0.1432,2500
4,10,0.3,0.0,0.4,0.2,0.15,3,0.1496,2500
4,10,0.3,0.0,0.0,0.2,0.15,6,0.1192,2500
4,10,0.3,0.4,0.0,0.0,0.0,1,0.3696,2500
4,10,0.3,0.4,0.4,0.0,0.0,1,0.2968,2500
4,10,0.3,0.4,0.4,0.2,0.15,3,0.1892,2500
4,10,0.3,0.4,0.0,0.2,0.15,6,0.1956,2500
4,10,0.3,0.8,0.0,0.0,0.0,1,0.7576,2500
4,10,0.3,0.8,0.4,0.0,0.0,1,0.6244,2500
4,10,0.3,0.8,0.4,0.2,0.15,3,0.302,2500
4,10,0.3,0.8,0.0,0.2,0.15,6,0.3248,2500
4,10,0.3,1.2,0.0,0.0,0.0,1,0.954,2500
4,10,0.3,1.2,0.4,0.0,0.0,1,0.876,2500
4,10,0.3,1.2,0.4,0.2,0.15,3,0.4356,2500
4,10,0.3,1.2,0.0,0.2,0.15,6,0.4612,2500
4,10,0.6,0.0,0.0,0.0,0.0,1,0.1436,2500
4,10,0.6,0.0,0.4,0.0,0.0,1,0.1592,2500
4,10,0.6,0.0,0.4,0.2,0.15,3,0.1408,2500
4,10,0.6,0.0,0.0,0.2,0.15,6,0.1176,2500
4,10,0.6,0.4,0.0,0.0,0.0,1,0.2696,2500
4,10,0.6,0.4,0.4,0.0,0.0,1,0.2464,2500
4,10,0.6,0.4,0.4,0.2,0.15,3,0.1692,2500
4,10,0.6,0.4,0.0,0.2,0.15,6,0.1688,2500
4,10,0.6,0.8,0.0,0.0,0.0,1,0.5736,2500
4,10,0.6,0.8,0.4,0.0,0.0,1,0.498,2500
4,10,0.6,0.8,0.4,0.2,0.15,3,0.2532,2500
4,10,0.6,0.8,0.0,0.2,0.15,6,0.2432,2500
4,10,0.6,1.2,0.0,0.0,0.0,1,0.8184,2500
4,10,0.6,1.2,0.4,0.0,0.0,1,0.7512,2500
4,10,0.6,1.2,0.4,0.2,0.15,3,0.3628,2500
4,10,0.6,1.2,0.0,0.2,0.15,6,0.3464,2500
4,10,0.9,0.0,0.0,0.0,0.0,1,0.1504,2500
4,10,0.9,0.0,0.4,0.0,0.0,1,0.1492,2500
4,10,0.9,0.0,0.4,0.2,0.15,3,0.1348,2500
4,10,0.9,0.0,0.0,0.2,0.15,6,0.1176,2500
4,10,0.9,0.4,0.0,0.0,0.0,1,0.2388,2500
4,10,0.9,0.4,0.4,0.0,0.0,1,0.224,2500
4,10,0.9,0.4,0.4,0.2,0.15,3,0.156,2500
4,10,0.9,0.4,0.0,0.2,0.15,6,0.1376,2500
4,10,0.9,0.8,0.0,0.0,0.0,1,0.4712,2500
4,10,0.9,0.8,0.4,0.0,0.0,1,0.4268,2500
4,10,0.9,0.8,0.4,0.2,0.15,3,0.236,2500
4,10,0.9,0.8,0.0,0.2,0.15,6,0.204,2500
